"Laikotarpis","Rodiklis","Administracinė teritorija","Vandens naudojimo paskirtis","Matavimo vienetai","Reikšmė"
"2020","Vandens sunaudojimas","Panevėžio apskritis","Sunaudota požeminio vandens","tūkst. m³","12112.6"
"2016","Vandens sunaudojimas","Panevėžio apskritis","Sunaudota vandens ūkio ir buities reikmėms","tūkst. m³","6189.2"
"2017","Vandens sunaudojimas","Panevėžio apskritis","Sunaudota vandens ūkio ir buities reikmėms","tūkst. m³","6188.9"
"2018","Vandens sunaudojimas","Panevėžio apskritis","Sunaudota vandens ūkio ir buities reikmėms","tūkst. m³","6370.6"
"2019","Vandens sunaudojimas","Panevėžio apskritis","Sunaudota vandens ūkio ir buities reikmėms","tūkst. m³","6239.6"
"2020","Vandens sunaudojimas","Panevėžio apskritis","Sunaudota vandens ūkio ir buities reikmėms","tūkst. m³","6171.7"
"2016","Vandens sunaudojimas","Panevėžio apskritis","Sunaudota vandens energetikos reikmėms","tūkst. m³","64.3"
"2017","Vandens sunaudojimas","Panevėžio apskritis","Sunaudota vandens energetikos reikmėms","tūkst. m³","162.5"
"2018","Vandens sunaudojimas","Panevėžio apskritis","Sunaudota vandens energetikos reikmėms","tūkst. m³","208.3"
"2019","Vandens sunaudojimas","Panevėžio apskritis","Sunaudota vandens energetikos reikmėms","tūkst. m³","189.3"
"2020","Vandens sunaudojimas","Panevėžio apskritis","Sunaudota vandens energetikos reikmėms","tūkst. m³","177.0"
"2016","Vandens sunaudojimas","Panevėžio apskritis","Sunaudota vandens kitoms reikmėms","tūkst. m³",
"2017","Vandens sunaudojimas","Panevėžio apskritis","Sunaudota vandens kitoms reikmėms","tūkst. m³",
"2018","Vandens sunaudojimas","Panevėžio apskritis","Sunaudota vandens kitoms reikmėms","tūkst. m³",
"2019","Vandens sunaudojimas","Panevėžio apskritis","Sunaudota vandens kitoms reikmėms","tūkst. m³",
"2020","Vandens sunaudojimas","Panevėžio apskritis","Sunaudota vandens kitoms reikmėms","tūkst. m³",
"2016","Vandens sunaudojimas","Panevėžio apskritis","Sunaudota vandens pramonės reikmėms","tūkst. m³","4643.9"
"2017","Vandens sunaudojimas","Panevėžio apskritis","Sunaudota vandens pramonės reikmėms","tūkst. m³","4907.8"
