,Reiso tipas,Administracinė teritorija,Matavimo vienetai,Laikotarpis,Reikšmė_x,Reikšmė_y,per_thousand
226,Tarptautinio susisiekimo maršrutas,Vilniaus m. sav.,tūkst. km,2019,6811.700000000001,556767.0,12.234381707249174
227,Reguliarus reisas,Vilniaus m. sav.,tūkst. km,2019,54746.8,556767.0,98.32982199016826
228,Vietinio (miesto) susisiekimo maršrutas,Vilniaus m. sav.,tūkst. km,2019,33412.8,556767.0,60.01217744586156
229,Užsakomasis reisas,Vilniaus m. sav.,tūkst. km,2019,24445.4,556767.0,43.90597862301466
230,Vietinio (priemiestinio) susisiekimo maršrutas,Vilniaus m. sav.,tūkst. km,2019,2793.4,556767.0,5.017179538298786
231,Iš viso pagal reiso tipą,Vilniaus m. sav.,tūkst. km,2019,79419.4,556767.0,142.64387077538717
232,Tolimojo susisiekimo maršrutas,Vilniaus m. sav.,tūkst. km,2020,8330.300000000001,566215.0,14.712255945179836
233,Specialus reisas,Vilniaus m. sav.,tūkst. km,2020,1679.7,566215.0,2.966540978250311
234,Tarptautinio susisiekimo maršrutas,Vilniaus m. sav.,tūkst. km,2020,3419.3,566215.0,6.0388721598686015
235,Reguliarus reisas,Vilniaus m. sav.,tūkst. km,2020,44946.49999999999,566215.0,79.38062396792736
236,Vietinio (miesto) susisiekimo maršrutas,Vilniaus m. sav.,tūkst. km,2020,31715.0,566215.0,56.0122921505082
237,Užsakomasis reisas,Vilniaus m. sav.,tūkst. km,2020,6683.280000000002,566215.0,11.803431558683542
