,Administracinė teritorija,Teršalai,Matavimo vienetai,Laikotarpis,Reikšmė_x,Reikšmė_y,per_thousand
197,Vilniaus m. sav.,"Sieros dioksidas, tonos",tonos,2015,240.3,543295.0,0.4423011439457385
198,Vilniaus m. sav.,Dujinės ir skystosios medžiagos,tonos,2015,2924.2,543295.0,5.382342926034659
199,Vilniaus m. sav.,Kietosios medžiagos,tonos,2015,212.2,543295.0,0.3905797034760121
200,Vilniaus m. sav.,Visi teršalai,tonos,2016,3825.0,544513.0,7.024625674685453
201,Vilniaus m. sav.,"Azoto oksidai, tonos",tonos,2016,743.3,544513.0,1.3650730101944304
202,Vilniaus m. sav.,Fluoras ir kiti teršalai,tonos,2016,64.2,544513.0,0.11790352112805387
203,Vilniaus m. sav.,"Anglies monoksidas, tonos",tonos,2016,2506.5,544513.0,4.603195883293879
204,Vilniaus m. sav.,Lakūs organiniai junginiai,tonos,2016,217.8,544513.0,0.39999045018208934
205,Vilniaus m. sav.,"Sieros dioksidas, tonos",tonos,2016,74.6,544513.0,0.13700315694942083
206,Vilniaus m. sav.,Dujinės ir skystosios medžiagos,tonos,2016,3606.4,544513.0,6.623166021747874
207,Vilniaus m. sav.,Kietosios medžiagos,tonos,2016,218.6,544513.0,0.40145965293757907
208,Vilniaus m. sav.,Visi teršalai,tonos,2017,3935.6,546504.0,7.201411151610968
209,Vilniaus m. sav.,"Azoto oksidai, tonos",tonos,2017,771.6,546504.0,1.4118835360765887
210,Vilniaus m. sav.,Fluoras ir kiti teršalai,tonos,2017,71.5,546504.0,0.1308316133093262
211,Vilniaus m. sav.,"Anglies monoksidas, tonos",tonos,2017,2556.2,546504.0,4.6773674117664275
212,Vilniaus m. sav.,Lakūs organiniai junginiai,tonos,2017,231.1,546504.0,0.42286973196902494
213,Vilniaus m. sav.,"Sieros dioksidas, tonos",tonos,2017,79.2,546504.0,0.14492117166571516
214,Vilniaus m. sav.,Dujinės ir skystosios medžiagos,tonos,2017,3709.6,546504.0,6.787873464787083
215,Vilniaus m. sav.,Kietosios medžiagos,tonos,2017,226.0,546504.0,0.4135376868238842
216,Vilniaus m. sav.,Visi teršalai,tonos,2018,4034.72,549833.0,7.338082654187726
217,Vilniaus m. sav.,"Azoto oksidai, tonos",tonos,2018,721.57,549833.0,1.312343929884165
218,Vilniaus m. sav.,Fluoras ir kiti teršalai,tonos,2018,68.93,549833.0,0.12536533820269066
219,Vilniaus m. sav.,"Anglies monoksidas, tonos",tonos,2018,2576.82,549833.0,4.686550279812234
220,Vilniaus m. sav.,Lakūs organiniai junginiai,tonos,2018,291.58,549833.0,0.5303064748750984
221,Vilniaus m. sav.,"Sieros dioksidas, tonos",tonos,2018,136.25,549833.0,0.24780251458170027
222,Vilniaus m. sav.,Dujinės ir skystosios medžiagos,tonos,2018,3795.15,549833.0,6.902368537355888
223,Vilniaus m. sav.,Kietosios medžiagos,tonos,2018,239.57,549833.0,0.435714116831838
224,Vilniaus m. sav.,Visi teršalai,tonos,2019,3433.86,556767.0,6.167499151350564
225,Vilniaus m. sav.,"Azoto oksidai, tonos",tonos,2019,594.87,556767.0,1.0684361680918588
226,Vilniaus m. sav.,Fluoras ir kiti teršalai,tonos,2019,64.11,556767.0,0.11514691064664394
227,Vilniaus m. sav.,"Anglies monoksidas, tonos",tonos,2019,2111.46,556767.0,3.7923583833093555
228,Vilniaus m. sav.,Lakūs organiniai junginiai,tonos,2019,363.25,556767.0,0.652427316992566
229,Vilniaus m. sav.,"Sieros dioksidas, tonos",tonos,2019,72.63,556767.0,0.13044954172930506
230,Vilniaus m. sav.,Dujinės ir skystosios medžiagos,tonos,2019,3206.32,556767.0,5.75881832076973
231,Vilniaus m. sav.,Kietosios medžiagos,tonos,2019,227.54,556767.0,0.40868083058083543
232,Vilniaus m. sav.,Visi teršalai,tonos,2020,1973.19,566215.0,3.4848776524818312
233,Vilniaus m. sav.,"Azoto oksidai, tonos",tonos,2020,460.19,566215.0,0.8127478078115203
234,Vilniaus m. sav.,Fluoras ir kiti teršalai,tonos,2020,66.12,566215.0,0.11677542982789224
235,Vilniaus m. sav.,"Anglies monoksidas, tonos",tonos,2020,801.33,566215.0,1.4152397940711567
236,Vilniaus m. sav.,Lakūs organiniai junginiai,tonos,2020,370.52,566215.0,0.65438040320373
237,Vilniaus m. sav.,"Sieros dioksidas, tonos",tonos,2020,119.35,566215.0,0.21078565562551327
238,Vilniaus m. sav.,Dujinės ir skystosios medžiagos,tonos,2020,1817.51,566215.0,3.2099290905398123
239,Vilniaus m. sav.,Kietosios medžiagos,tonos,2020,155.68,566215.0,0.2749485619420185
